130	h5nc	5C						
-	0	18	0	0	411	401	1	0
-	0	18	1	8	33	332	10882	0
-	0	18	2	2	756	57	14244	0
-	0	18	2	3	49	206	10553	0
#		Mission_19						
-	0	19	0	2	681	217	3	0
-	0	19	0	0	448	288	3	0
-	0	19	0	6	144	515	3	0
-	0	19	0	5	513	322	3	0
-	0	19	1	1	457	29	14215	0
-	0	19	2	3	924	309	-8635	0
-	0	19	2	9	756	46	15086	0
-	0	19	3	7	482	11	15147	0
-	0	19	4	6	233	28	14051	0
-	0	19	4	8	597	50	15469	0
#		Mission_20						
-	0	20	0	0	670	146	3	0
-	0	20	0	0	560	311	1	0
-	0	20	0	2	200	261	1	0
-	0	20	1	6	944	277	-7392	0
-	0	20	2	7	8	314	5097	0
-	0	20	2	3	36	326	9369	0
#		Mission_21						
-	0	21	0	3	104	429	1	0
-	0	21	0	5	411	171	3	0
-	0	21	0	3	217	143	2	0
-	0	21	1	6	954	301	-5984	0
-	0	21	2	4	36	244	12097	0
-	0	21	3	0	514	18	19920	0
-	0	21	3	8	489	53	18084	0
#		Mission_22						
-	0	22	0	0	507	323	1	0
-	0	22	0	3	255	117	1	0
-	0	22	0	2	547	479	3	0
-	0	22	0	0	809	130	2	0
-	0	22	1	0	382	55	19444	0
-	0	22	1	5	43	329	9137	0
#		Mission_23						
-	0	23	0	3	120	377	3	0
-	0	23	0	0	280	230	2	0
-	0	23	1	4	557	44	15529	0
-	0	23	1	1	537	59	17843	0
-	0	23	2	4	415	12	14274	0
-	0	23	2	4	407	14	22399	0
-	0	23	2	1	17	331	8214	0
#		Mission_24						
-	0	24	0	8	120	299	1	0
-	0	24	0	3	239	307	2	0
-	0	24	0	6	658	306	2	0
-	0	24	0	0	189	504	3	0
-	0	24	1	6	47	261	6192	0
-	0	24	1	7	23	282	9868	0
-	0	24	1	9	44	336	9033	0
-	0	24	2	7	732	51	20972	0
-	0	24	2	5	909	240	-6828	0
-	0	24	2	0	917	240	-6318	0
-	0	24	3	1	632	43	21436	0
-	0	24	3	7	46	262	9047	0
#		Mission_25						
-	0	25	0	9	740	309	2	0
-	0	25	0	9	655	209	3	0
-	0	25	0	6	439	147	1	0
-	0	25	1	4	936	329	-8077	0
-	0	25	1	3	5	286	11651	0
-	0	25	2	7	718	21	13873	0
-	0	25	2	7	932	242	-11168	0
-	0	25	2	0	396	8	19461	0
-	0	25	3	9	56	282	8585	0
-	0	25	3	3	58	275	5086	0
-	0	25	3	2	955	225	-8755	0
#		Mission_26						
-	0	26	0	5	442	335	3	0
-	0	26	0	3	228	422	2	0
-	0	26	0	1	123	241	1	0
-	0	26	0	0	142	352	3	0
-	0	26	1	1	940	271	-9619	0
-	0	26	2	8	948	288	-5816	0
-	0	26	2	4	492	9	21225	0
-	0	26	3	0	743	38	21858	0
-	0	26	4	1	42	231	11516	0
-	0	26	4	5	903	202	-11723	0
-	0	26	4	4	51	241	6293	0
#		Mission_27						
-	0	27	0	7	295	509	1	0
-	0	27	0	2	129	190	1	0
-	0	27	0	4	298	178	1	0
-	0	27	0	5	337	195	2	0
-	0	27	1	8	601	56	15812	0
-	0	27	2	9	952	216	-12761	0
#		Mission_28						
-	0	28	0	8	308	522	1	0
-	0	28	0	2	485	295	1	0
-	0	28	0	4	234	313	2	0
-	0	28	1	3	43	323	10596	0
-	0	28	1	2	293	26	17785	0
-	0	28	1	9	57	335	6738	0
-	0	28	2	6	261	18	18056	0
-	0	28	3	0	13	217	9325	0
-	0	28	3	0	9	284	10405	0
-	0	28	3	8	363	26	21310	0
#		Mission_29						
-	0	29	0	6	476	245	1	0
-	0	29	0	1	321	257	2	0
-	0	29	0	9	583	139	2	0
-	0	29	0	1	613	232	3	0
-	0	29	0	9	601	406	3	0
-	0	29	1	8	34	328	10997	0
-	0	29	1	4	945	316	-12224	0
-	0	29	2	3	419	22	19004	0
-	0	29	2	6	953	285	-8931	0
-	0	29	2	7	928	201	-8403	0
-	0	29	3	0	18	232	11988	0
#		Mission_30						
-	0	30	0	0	258	268	1	0
-	0	30	0	2	111	217	1	0
-	0	30	0	3	342	372	3	0
-	0	30	0	5	734	459	3	0
-	0	30	1	8	28	336	4998	0
-	0	30	1	4	53	279	13101	0
-	0	30	2	7	942	338	-12952	0
-	0	30	2	0	661	41	16140	0
-	0	30	2	3	7	294	8614	0
-	0	30	3	3	35	255	13371	0
-	0	30	3	8	621	7	15307	0
-	0	30	3	4	696	49	19734	0
#		Mission_31						
-	0	31	0	5	583	136	3	0
-	0	31	0	8	261	220	3	0
-	0	31	0	2	474	277	1	0
-	0	31	1	1	564	43	14915	0
-	0	31	1	5	515	29	21359	0
-	0	31	1	3	13	325	9324	0
-	0	31	2	8	950	270	-10639	0
-	0	31	2	3	464	40	14179	0
#		Mission_32						
-	0	32	0	4	158	335	1	0
-	0	32	0	4	117	197	3	0
-	0	32	0	2	811	134	1	0
-	0	32	0	5	301	210	2	0
-	0	32	1	4	933	325	-12191	0
-	0	32	1	5	313	6	16893	0
-	0	32	1	1	33	265	6057	0
#		Mission_33						
-	0	33	0	2	325	192	1	0
-	0	33	0	1	320	392	1	0
-	0	33	0	0	686	410	3	0
-	0	33	1	1	24	284	5511	0
#		Mission_34						
-	0	34	0	7	502	363	3	0
-	0	34	0	2	760	416	1	0
-	0	34	0	3	572	539	2	0
-	0	34	1	9	546	38	16852	0
-	0	34	2	1	9	230	4782	0
-	0	34	2	0	264	25	20227	0
#		Mission_35						
-	0	35	0	1	430	349	2	0
-	0	35	0	5	807	362	2	0
-	0	35	0	0	579	278	3	0
-	0	35	1	7	903	272	-6314	0
#		Mission_36						
-	0	36	0	7	191	391	1	0
-	0	36	0	7	742	146	1	0
-	0	36	1	2	912	281	-6920	0
-	0	36	1	5	956	226	-8023	0
-	0	36	1	1	955	281	-8320	0
#		Mission_37						
-	0	37	0	6	298	537	1	0
-	0	37	0	1	647	114	1	0
-	0	37	0	2	167	147	3	0
-	0	37	0	2	177	117	3	0
-	0	37	1	9	32	250	9460	0
-	0	37	1	2	10	221	7309	0
-	0	37	2	6	760	39	21241	0
-	0	37	2	8	921	278	-8661	0
-	0	37	2	6	937	280	-9138	0
-	0	37	3	1	28	286	10370	0
-	0	37	3	2	59	241	11567	0
#		Mission_38						
-	0	38	0	8	302	256	1	0
-	0	38	0	1	129	197	3	0
-	0	38	0	6	331	511	1	0
-	0	38	1	7	14	224	8548	0
-	0	38	1	0	44	337	12937	0
-	0	38	2	7	513	11	17669	0
-	0	38	2	3	908	295	-7908	0
-	0	38	2	1	664	6	21777	0
-	0	38	3	4	954	303	-6361	0
-	0	38	3	8	50	235	6245	0
-	0	38	4	4	941	310	-7274	0
#		Mission_39						
-	0	39	0	7	193	131	2	0
-	0	39	0	2	354	139	1	0
-	0	39	1	7	22	265	5618	0
#		Mission_40						
-	0	40	0	8	367	183	1	0
-	0	40	0	1	800	392	2	0
-	0	40	1	7	40	228	8171	0
-	0	40	1	5	16	309	10915	0
-	0	40	2	6	498	9	21238	0
-	0	40	2	3	23	291	5906	0
-	0	40	2	6	467	23	16159	0
#		Mission_41						
-	0	41	0	9	254	416	1	0
-	0	41	0	7	311	317	1	0
-	0	41	0	0	771	456	2	0
-	0	41	1	3	646	19	20536	0
-	0	41	1	1	317	55	18095	0
-	0	41	1	9	9	327	7078	0
-	0	41	2	4	40	317	4787	0
-	0	41	2	2	902	325	-13296	0
#		Mission_42						
-	0	42	0	9	329	262	3	0
-	0	42	0	7	725	144	3	0
-	0	42	0	5	235	225	3	0
-	0	42	1	0	26	239	7656	0
-	0	42	2	6	902	297	-8198	0
-	0	42	3	5	923	245	-8100	0
-	0	42	3	3	910	244	-5002	0
-	0	42	4	3	258	34	22091	0
#		Mission_43						
-	0	43	0	9	268	187	3	0
-	0	43	0	7	563	384	3	0
-	0	43	0	0	791	452	2	0
-	0	43	1	1	27	241	8591	0
-	0	43	2	4	654	28	20361	0
-	0	43	2	8	702	10	15609	0
-	0	43	2	5	920	333	-5395	0
-	0	43	3	1	254	48	15658	0
-	0	43	3	1	34	235	11313	0
-	0	43	3	4	934	228	-8494	0
#		Mission_44						
-	0	44	0	2	385	523	3	0
-	0	44	0	0	306	460	1	0
-	0	44	0	8	509	324	3	0
-	0	44	1	6	488	60	21819	0
-	0	44	1	2	954	266	-8876	0
-	0	44	1	4	916	252	-6346	0
-	0	44	2	1	902	232	-9240	0
-	0	44	3	9	924	253	-11747	0
#		Mission_45						
-	0	45	0	4	805	263	3	0
-	0	45	0	9	749	256	3	0
-	0	45	0	7	605	500	2	0
-	0	45	0	7	639	166	1	0
-	0	45	0	8	161	322	3	0
-	0	45	1	9	594	31	18364	0
-	0	45	1	4	923	213	-5591	0
#		Mission_46						
-	0	46	0	2	213	314	3	0
-	0	46	0	1	427	308	3	0
-	0	46	1	4	479	6	21646	0
-	0	46	1	2	926	259	-5948	0
-	0	46	1	0	908	280	-9790	0
-	0	46	2	7	918	201	-12469	0
-	0	46	3	6	928	287	-10612	0
-	0	46	3	2	923	242	-4681	0
-	0	46	4	8	270	33	21483	0
#		Mission_47						
-	0	47	0	9	546	453	1	0
-	0	47	0	3	833	346	2	0
-	0	47	1	7	952	233	-9028	0
-	0	47	2	2	319	7	17069	0
#		Mission_48						
-	0	48	0	6	751	228	2	0
-	0	48	0	6	465	255	3	0
-	0	48	0	3	633	345	1	0
-	0	48	0	3	586	246	1	0
-	0	48	1	0	924	293	-5606	0
-	0	48	1	2	596	5	14378	0
#		World_01						
#		Mission_01						
-	1	1	0	0	247	504	3	0
-	1	1	0	9	845	365	3	0
-	1	1	1	3	48	283	8658	0
#		Mission_02						
-	1	2	0	8	231	485	1	0
-	1	2	0	9	632	276	1	0
-	1	2	0	5	802	111	2	0
-	1	2	1	6	15	226	6830	0
-	1	2	1	8	15	323	7445	0
-	1	2	1	8	273	36	21869	0
-	1	2	2	4	952	313	-8068	0
-	1	2	3	8	943	337	-12826	0
-	1	2	3	4	7	210	9121	0
-	1	2	4	2	337	7	18335	0
-	1	2	4	0	232	8	16803	0
-	1	2	4	0	703	12	19037	0
#		Mission_03						
-	1	3	0	1	242	197	3	0
-	1	3	0	4	826	506	2	0
-	1	3	0	7	170	466	2	0
-	1	3	0	3	660	395	2	0
-	1	3	1	2	16	249	13384	0
-	1	3	1	4	948	316	-5924	0
-	1	3	2	1	12	283	11529	0
-	1	3	2	2	944	280	-4930	0
-	1	3	3	5	521	33	21397	0
-	1	3	3	5	935	245	-8622	0
-	1	3	4	0	918	246	-9230	0
#		Mission_04						
-	1	4	0	1	825	282	2	0
-	1	4	0	9	801	528	1	0
-	1	4	1	5	634	51	16247	0
-	1	4	1	4	902	213	-6641	0
-	1	4	1	0	10	287	7565	0
-	1	4	2	2	49	338	9090	0
-	1	4	2	4	46	278	6887	0
-	1	4	3	1	931	230	-9947	0
#		Mission_05						
-	1	5	0	5	442	155	2	0
-	1	5	0	8	446	485	2	0
-	1	5	0	5	359	111	1	0
-	1	5	0	6	352	485	2	0
-	1	5	1	6	669	19	18761	0
-	1	5	1	4	225	46	22040	0
-	1	5	1	5	462	14	14295	0
-	1	5	2	1	944	214	-11843	0
-	1	5	2	6	6	309	10458	0
-	1	5	3	2	48	280	9871	0
-	1	5	4	9	15	307	10225	0
#		Mission_06						
-	1	6	0	8	574	318	1	0
-	1	6	0	8	169	310	1	0
-	1	6	0	4	339	540	3	0
-	1	6	0	7	845	376	3	0
-	1	6	0	5	744	446	1	0
-	1	6	1	3	667	35	18350	0
-	1	6	1	1	682	21	22105	0
-	1	6	2	9	942	311	-10749	0
-	1	6	2	2	424	53	15667	0
-	1	6	3	5	261	12	18695	0
-	1	6	3	6	900	239	-12405	0
-	1	6	3	1	20	330	6283	0
#		Mission_07						
-	1	7	0	8	267	381	2	0
-	1	7	0	0	783	516	2	0
-	1	7	1	3	939	208	-9768	0
-	1	7	1	6	329	56	20761	0
-	1	7	1	5	4	326	10579	0
-	1	7	2	8	904	269	-5784	0
-	1	7	2	3	948	244	-12943	0
-	1	7	2	4	331	39	19860	0
#		Mission_08						
-	1	8	0	6	853	117	2	0
-	1	8	0	7	171	159	2	0
-	1	8	1	8	949	280	-10174	0
-	1	8	1	4	902	320	-12783	0
-	1	8	2	5	556	13	20944	0
-	1	8	2	7	940	259	-5059	0
-	1	8	3	2	478	29	20758	0
-	1	8	3	1	926	331	-12807	0
-	1	8	3	2	658	39	17370	0
#		Mission_09						
-	1	9	0	9	390	394	3	0
-	1	9	0	1	660	239	3	0
-	1	9	0	1	805	125	3	0
-	1	9	1	0	906	247	-10798	0
-	1	9	1	2	30	243	5908	0
-	1	9	2	6	943	228	-8049	0
-	1	9	2	9	596	41	20634	0
-	1	9	2	1	906	233	-11299	0
-	1	9	3	4	486	10	15051	0
-	1	9	3	8	930	330	-11306	0
-	1	9	3	3	935	234	-8581	0
#		Mission_10						
-	1	10	0	0	775	451	3	0
-	1	10	0	5	122	190	3	0
-	1	10	1	3	930	333	-11693	0
-	1	10	1	9	24	280	9716	0
-	1	10	2	4	463	19	18984	0
-	1	10	2	3	715	55	16874	0
-	1	10	2	3	642	41	15837	0
-	1	10	3	7	254	53	14430	0
-	1	10	4	4	59	337	12245	0
-	1	10	4	0	901	257	-7439	0
-	1	10	4	4	902	262	-10632	0
#		Mission_11						
-	1	11	0	7	463	234	3	0
-	1	11	0	2	532	101	1	0
-	1	11	0	4	306	230	1	0
-	1	11	0	6	303	494	3	0
-	1	11	1	1	927	200	-11096	0
-	1	11	1	4	912	271	-12283	0
-	1	11	2	7	343	11	16844	0
-	1	11	2	4	10	249	13344	0
-	1	11	3	1	27	203	12466	0
-	1	11	3	1	52	332	10733	0
-	1	11	4	3	21	210	13287	0
-	1	11	4	5	658	32	20041	0
#		Mission_12						
-	1	12	0	1	640	178	1	0
-	1	12	0	8	433	126	3	0
-	1	12	1	3	952	320	-11369	0
-	1	12	1	8	37	289	5628	0
-	1	12	1	7	55	230	5367	0
-	1	12	2	9	324	13	20337	0
-	1	12	2	4	33	244	11838	0
-	1	12	2	8	912	319	-6786	0
-	1	12	3	9	903	294	-8724	0
-	1	12	3	9	21	307	10542	0
-	1	12	3	6	40	295	6563	0
#		Mission_13						
-	1	13	0	1	296	106	2	0
-	1	13	0	1	443	461	3	0
-	1	13	1	1	6	208	11832	0
-	1	13	1	3	935	213	-6379	0
-	1	13	1	8	319	5	15722	0
-	1	13	2	9	647	6	22034	0
-	1	13	2	3	17	301	8880	0
-	1	13	3	0	56	339	12254	0
-	1	13	3	1	737	44	17344	0
#		Mission_14						
-	1	14	0	4	619	443	1	0
-	1	14	0	7	203	517	3	0
-	1	14	0	2	791	304	3	0
-	1	14	1	3	52	292	10297	0
-	1	14	2	2	389	35	18517	0
-	1	14	2	6	56	275	12149	0
-	1	14	3	2	909	294	-6315	0
-	1	14	4	5	902	333	-10179	0
#		Mission_15						
-	1	15	0	0	585	306	1	0
-	1	15	0	0	240	520	2	0
-	1	15	0	0	224	126	1	0
-	1	15	0	7	314	344	2	0
-	1	15	1	5	39	330	12604	0
-	1	15	2	8	30	227	4579	0
-	1	15	2	3	929	335	-4769	0
-	1	15	2	3	926	269	-12977	0
#		Mission_16						
-	1	16	0	8	542	519	1	0
-	1	16	0	1	816	288	3	0
-	1	16	0	0	452	248	1	0
-	1	16	0	3	418	334	3	0
-	1	16	1	7	934	309	-5149	0
-	1	16	1	0	900	221	-9401	0
-	1	16	2	3	595	55	15580	0
-	1	16	2	7	429	38	17747	0
-	1	16	2	7	951	326	-12903	0
#		Mission_17						
-	1	17	0	9	598	494	1	0
-	1	17	0	1	268	339	2	0
-	1	17	0	7	169	105	3	0
-	1	17	1	7	36	264	5280	0
-	1	17	1	4	278	28	21825	0
-	1	17	2	5	930	312	-5296	0
-	1	17	2	8	943	256	-13021	0
-	1	17	3	3	230	40	18328	0
-	1	17	3	3	945	282	-12797	0
#		Mission_18						
-	1	18	0	0	371	179	2	0
-	1	18	0	4	849	518	2	0
-	1	18	0	8	808	392	2	0
-	1	18	1	6	54	303	10700	0
-	1	18	1	5	926	250	-7495	0
-	1	18	1	8	44	335	9601	0
-	1	18	2	4	922	324	-10747	0
-	1	18	2	3	263	44	20159	0
-	1	18	2	4	41	270	8561	0
#		Mission_19						
-	1	19	0	3	145	158	1	0
-	1	19	0	3	614	302	1	0
-	1	19	0	8	811	264	3	0
-	1	19	0	6	482	434	1	0
-	1	19	1	2	4	227	9344	0
-	1	19	1	8	19	328	8908	0
#		Mission_20						
-	1	20	0	9	724	242	2	0
-	1	20	0	6	115	507	3	0
-	1	20	0	9	441	350	3	0
-	1	20	0	1	412	453	1	0
-	1	20	0	1	660	331	2	0
-	1	20	1	9	946	276	-8622	0
-	1	20	1	7	935	292	-9650	0
-	1	20	2	7	940	308	-10553	0
-	1	20	2	8	950	271	-5300	0
#		Mission_21						
-	1	21	0	5	121	233	1	0
-	1	21	0	4	405	446	2	0
-	1	21	0	1	336	377	3	0
-	1	21	0	6	549	450	2	0
-	1	21	0	1	225	102	3	0
-	1	21	1	9	939	289	-10857	0
-	1	21	1	6	951	243	-8159	0
#		Mission_22						
-	1	22	0	2	596	475	3	0
-	1	22	0	5	321	207	3	0
-	1	22	0	8	241	223	1	0
-	1	22	0	8	100	429	2	0
-	1	22	1	0	723	41	21008	0
-	1	22	2	1	318	18	17681	0
-	1	22	2	4	580	10	15233	0
-	1	22	3	4	33	228	9489	0
-	1	22	3	8	921	252	-9295	0
#		Mission_23						
-	1	23	0	0	139	368	3	0
-	1	23	0	0	130	184	2	0
-	1	23	1	6	26	268	8963	0
-	1	23	1	2	32	222	6282	0
-	1	23	2	7	519	39	18757	0
-	1	23	2	0	14	290	8889	0
#		Mission_24						
-	1	24	0	0	718	474	1	0
-	1	24	0	5	142	462	2	0
-	1	24	0	9	539	168	1	0
-	1	24	0	6	478	103	3	0
-	1	24	1	0	60	337	7543	0
-	1	24	1	1	640	30	16755	0
-	1	24	1	1	741	49	19666	0
#		Mission_25						
-	1	25	0	0	568	503	1	0
-	1	25	0	8	470	425	1	0
-	1	25	0	4	509	244	3	0
-	1	25	0	3	843	327	2	0
-	1	25	1	8	224	49	15255	0
-	1	25	1	5	515	12	17589	0
-	1	25	2	4	390	60	16698	0
-	1	25	2	5	47	217	7554	0
-	1	25	2	8	939	308	-8189	0
-	1	25	3	5	320	52	17911	0
#		Mission_26						
-	1	26	0	4	316	533	3	0
-	1	26	0	7	839	384	3	0
-	1	26	0	7	542	296	2	0
-	1	26	0	9	530	155	2	0
-	1	26	0	1	627	439	3	0
-	1	26	1	3	8	311	5546	0
-	1	26	1	5	58	209	9367	0
-	1	26	2	1	940	236	-13115	0
-	1	26	2	0	27	303	13463	0
-	1	26	2	1	360	44	18392	0
-	1	26	3	7	513	40	22303	0
-	1	26	3	1	5	282	4754	0
#		Mission_27						
-	1	27	0	2	349	341	2	0
-	1	27	0	7	218	118	3	0
-	1	27	0	9	565	428	1	0
-	1	27	0	7	476	408	2	0
-	1	27	0	8	293	527	1	0
-	1	27	1	7	18	227	9396	0
-	1	27	1	3	906	290	-5059	0
#		Mission_28						
-	1	28	0	6	226	342	1	0
-	1	28	0	5	518	457	2	0
-	1	28	0	6	155	337	2	0
-	1	28	0	3	157	517	3	0
-	1	28	1	2	548	23	13723	0
-	1	28	2	6	916	208	-11956	0
-	1	28	2	7	20	265	9267	0
-	1	28	3	6	667	18	13648	0
-	1	28	3	9	400	49	18392	0
-	1	28	3	3	209	45	15454	0
-	1	28	4	1	294	60	16068	0
-	1	28	4	9	22	320	8403	0
-	1	28	4	8	626	9	20229	0
#		Mission_29						
-	1	29	0	6	548	310	1	0
-	1	29	0	7	146	502	1	0
-	1	29	0	5	540	490	1	0
-	1	29	0	5	571	294	1	0
-	1	29	0	0	492	295	1	0
-	1	29	1	9	15	203	9754	0
-	1	29	2	2	948	224	-8735	0
-	1	29	2	7	740	13	16375	0
-	1	29	2	5	925	221	-10702	0
-	1	29	3	8	907	321	-10917	0
-	1	29	4	9	941	268	-10761	0
-	1	29	4	6	900	232	-9363	0
#		Mission_30						
-	1	30	0	4	418	267	2	0
-	1	30	0	8	735	335	3	0
-	1	30	1	3	902	276	-13229	0
-	1	30	2	4	707	42	14997	0
-	1	30	3	7	651	12	18345	0
-	1	30	3	6	907	296	-12091	0
#		Mission_31						
-	1	31	0	9	571	464	3	0
-	1	31	0	1	859	102	1	0
-	1	31	0	7	448	324	1	0
-	1	31	0	2	681	497	2	0
-	1	31	1	5	943	301	-6421	0
-	1	31	1	9	743	37	20877	0
#		Mission_32						
-	1	32	0	6	647	335	2	0
-	1	32	0	1	701	216	2	0
-	1	32	0	1	292	534	2	0
-	1	32	0	7	347	210	2	0
-	1	32	0	3	840	531	3	0
-	1	32	1	3	323	27	17608	0
-	1	32	2	6	910	223	-12849	0
-	1	32	3	9	909	291	-8754	0
-	1	32	3	2	908	246	-12354	0
-	1	32	4	4	205	22	19116	0
#		Mission_33						
-	1	33	0	5	778	470	1	0
-	1	33	0	4	265	252	2	0
-	1	33	0	1	442	509	2	0
-	1	33	0	3	565	387	1	0
-	1	33	1	0	41	297	7524	0
-	1	33	1	2	411	7	18401	0
-	1	33	1	7	595	46	22375	0
-	1	33	2	2	923	209	-9963	0
-	1	33	3	9	902	203	-11463	0
-	1	33	3	7	57	310	8056	0
-	1	33	3	3	45	249	8130	0
-	1	33	4	2	925	209	-5433	0
#		Mission_34						
-	1	34	0	0	761	523	1	0
-	1	34	0	1	616	410	2	0
-	1	34	0	4	751	138	3	0
-	1	34	0	1	766	144	3	0
-	1	34	0	4	686	385	1	0
-	1	34	1	1	943	202	-6994	0
-	1	34	1	6	485	48	13747	0
-	1	34	1	9	27	274	5172	0
