130	h5nc	5B								
-	42	51	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	43	51	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	44	51	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	45	51	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	46	51	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	47	51	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	48	51	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
#		World02								
-	50	10	0	SI_Null	0	0	0	0	0	0
-	51	21	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	52	21	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	53	21	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	54	21	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	55	21	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	56	21	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	57	21	5	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	58	21	5	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	59	21	6	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	60	21	7	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	61	21	7	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	62	21	7	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	63	21	8	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	64	21	8	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	65	21	8	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	66	31	9	SI_MissionBG_Pen	0	0	1000	2000	3000	0
#		World02(Free)								
-	67	41	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	68	41	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	69	41	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	70	41	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	71	41	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	72	41	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	73	41	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	74	41	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	75	41	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	76	41	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	77	41	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	78	41	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	79	41	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	80	41	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	81	41	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	82	41	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
#		World02(GoldenEgg)								
-	83	51	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	84	51	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	85	51	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	86	51	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	87	51	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	88	51	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	89	51	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	90	51	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	91	51	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	92	51	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	93	51	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	94	51	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	95	51	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	96	51	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	97	51	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	98	51	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
#		World03								
-	100	10	0	SI_Null	0	0	0	0	0	0
-	101	21	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	102	21	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	103	21	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	104	21	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	105	21	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	106	21	5	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	107	21	5	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	108	21	6	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	109	21	7	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	110	21	7	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	111	21	7	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	112	21	8	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	113	21	8	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	114	21	9	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	115	21	9	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	116	31	10	SI_MissionBG_Pen	0	0	1000	2000	3000	0
#		World03(Free)								
-	117	41	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	118	41	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	119	41	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	120	41	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	121	41	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	122	41	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	123	41	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	124	41	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	125	41	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	126	41	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	127	41	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	128	41	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	129	41	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	130	41	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	131	41	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	132	41	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
#		World03(GoldenEgg)								
-	133	51	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	134	51	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	135	51	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	136	51	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	137	51	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	138	51	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	139	51	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	140	51	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	141	51	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	142	51	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	143	51	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	144	51	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	145	51	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	146	51	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	147	51	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	148	51	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
#		World04								
-	150	10	0	SI_Null	0	0	0	0	0	0
-	151	21	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	152	21	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	153	21	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	154	21	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	155	21	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	156	21	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	157	21	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	158	21	5	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	159	21	5	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	160	21	6	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	161	21	7	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	162	21	7	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	163	21	8	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	164	21	8	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	165	21	8	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	166	31	9	SI_MissionBG_Pen	0	0	1000	2000	3000	0
#		World04(Free)								
-	167	41	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	168	41	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	169	41	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	170	41	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	171	41	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	172	41	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	173	41	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	174	41	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	175	41	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	176	41	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	177	41	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	178	41	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	179	41	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	180	41	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	181	41	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	182	41	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
#		World04(GoldenEgg)								
-	183	51	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	184	51	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	185	51	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	186	51	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	187	51	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	188	51	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	189	51	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	190	51	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	191	51	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	192	51	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	193	51	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	194	51	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	195	51	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	196	51	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	197	51	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	198	51	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
#		World05								
-	200	10	0	SI_Null	0	0	0	0	0	0
-	201	21	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	202	21	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	203	21	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	204	21	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	205	21	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	206	21	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	207	21	5	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	208	21	6	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	209	21	6	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	210	21	6	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	211	21	7	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	212	21	8	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	213	21	8	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	214	21	9	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	215	21	9	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	216	31	10	SI_MissionBG_Pen	0	0	1000	2000	3000	0
#		World05(Free)								
-	217	41	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	218	41	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	219	41	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	220	41	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	221	41	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	222	41	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	223	41	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	224	41	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	225	41	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	226	41	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	227	41	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	228	41	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	229	41	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	230	41	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	231	41	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	232	41	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
#		World05(GoldenEgg)								
-	233	51	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	234	51	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	235	51	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	236	51	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	237	51	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	238	51	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	239	51	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	240	51	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	241	51	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	242	51	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	243	51	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	244	51	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	245	51	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	246	51	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	247	51	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	248	51	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
#		World06								
-	250	10	0	SI_Null	0	0	0	0	0	0
-	251	21	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	252	21	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	253	21	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	254	21	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	255	21	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	256	21	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	257	21	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	258	21	5	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	259	21	5	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	260	21	6	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	261	21	6	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	262	21	7	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	263	21	7	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	264	21	8	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	265	21	8	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	266	31	9	SI_MissionBG_Pen	0	0	1000	2000	3000	0
#		World06(Free)								
-	267	41	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	268	41	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	269	41	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	270	41	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	271	41	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	272	41	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	273	41	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	274	41	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	275	41	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	276	41	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	277	41	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	278	41	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	279	41	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	280	41	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	281	41	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	282	41	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
#		World06(GoldenEgg)								
-	283	51	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	284	51	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	285	51	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	286	51	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	287	51	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	288	51	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	289	51	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	290	51	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	291	51	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	292	51	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	293	51	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	294	51	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	295	51	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	296	51	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	297	51	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	298	51	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
#		World07								
-	300	10	0	SI_Null	0	0	0	0	0	0
-	301	21	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	302	21	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	303	21	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	304	21	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	305	21	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	306	21	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	307	21	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	308	21	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	309	21	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	310	21	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	311	21	5	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	312	21	5	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	313	21	5	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	314	21	6	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	315	21	6	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	316	31	7	SI_MissionBG_Pen	0	0	1000	2000	3000	0
#		World07(Free)								
-	317	41	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	318	41	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	319	41	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	320	41	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	321	41	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	322	41	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	323	41	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	324	41	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	325	41	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	326	41	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	327	41	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	328	41	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	329	41	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	330	41	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	331	41	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	332	41	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
#		World07(GoldenEgg)								
-	333	51	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	334	51	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	335	51	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	336	51	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	337	51	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	338	51	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	339	51	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	340	51	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	341	51	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	342	51	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	343	51	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	344	51	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	345	51	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	346	51	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	347	51	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	348	51	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
#		Extra								
-	350	21	1	SI_MissionBG_Pen	0	0	0	0	0	0
-	351	21	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	352	21	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	353	21	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	354	21	5	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	355	21	6	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	356	21	7	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	357	34	8	SI_MissionBG_Pen	0	0	1000	2000	3000	0
#		Survival								
-	399	84	0	SI_Null	0	4	0	0	0	0
